name,dtype,non_null_percent,unique_count,min,max,mean,std,zero_percent,negative_percent
GS_ACTC,int64,100.0,1,8.0,8.0,8.0,0.0,0.0,0.0
GS_DVER,float64,100.0,1,2439.5000000352,2439.5000000352,2439.5000000352006,4.547700899594531e-13,0.0,0.0
GS_DMEA,float64,100.0,1,2591.0600587128,2591.0600587128,2591.0600587127997,4.547700899594531e-13,0.0,0.0
GS_DBTM,float64,99.99,5,1.8200001192,2557.8200685,1028.394529096517,1252.8681047198882,0.0,0.0
RSUX,float64,99.98,4,0.0,0.0095000064,0.006141211308981794,0.003308413429900197,16.580000000000002,0.0
GS_TTV1,float64,99.98,1,461.487479452363,461.487479452363,461.487479452363,0.0,0.0,0.0
FVOC,float64,99.98,324,-693.619995127962,17.1599998947784,-7.661427962955959,22.616037968219487,1.27,64.66
RSDX,float64,99.98,4,0.0,0.0095000064,0.006141211308981794,0.003308413429900197,16.580000000000002,0.0
GS_ROP,float64,99.97,1,10.2600002064,10.2600002064,10.2600002064,0.0,0.0,0.0
GS_SWOB,float64,99.97,1,0.0,0.0,0.0,0.0,99.97,0.0
GS_DRTM,float64,99.97,1,2591.0600587128,2591.0600587128,2591.060058712799,9.095401935674682e-13,0.0,0.0
GS_BPOS,float64,99.97,874,0.0,60.0000000912,11.415799932323617,15.836892057530646,25.22,0.0
GS_SPPA,float64,99.97,643,-283.999989551827,35080.9997565222,559.3775126988578,4193.344490994878,0.0,45.22
GS_GASA,float64,99.97,1,0.0,0.0,0.0,0.0,99.97,0.0
GS_TFLO,float64,99.97,18,-66414.54687396,2000.4300547204,-442.44799632346235,3393.2204423128205,97.89999999999999,1.9
GS_TVCA,float64,99.97,323,-693.619995127962,17.1599998947784,-7.661567147527979,22.61714813404343,1.27,64.64999999999999
GS_TVA,float64,99.97,340,-1768.38000484303,77.3099976286653,68.8717422755414,28.52212748952962,9.030000000000001,0.01
MSP5,float64,99.96000000000001,5,0.0,25.0,0.0234093637454982,0.7408958659828455,99.76,0.0
GS_SPM3,float64,99.9,1,0.0,0.0,0.0,0.0,99.9,0.0
GS_RPM,float64,99.89,5,0.0,25.0,0.023425768345179697,0.7411551863361697,99.69,0.0
GS_SPM2,float64,99.85000000000001,2,0.0,45.0,0.07661492238357537,1.855302237552125,99.68,0.0
GS_SPM1,float64,98.15,2,0.0,45.0,0.07794192562404482,1.8712745593177573,97.98,0.0
GS_HKLD,float64,95.84,576,56.9511488069147,78.507948836548,65.0330431349698,1.5217463873818178,0.0,0.0
GS_TQA,float64,95.84,116,-558.739990119912,40.8699985886453,-0.14636083271947248,8.463656416148611,1.24,10.979999999999999
MSP4,float64,93.49,384,-888.219971,15.7,1.5881816268050057,9.444054513191412,9.39,0.01
GS_CFIA,float64,93.49,79,-0.037009163992185,0.000147917812959,-2.518599924352979e-06,0.00038287523270998314,86.03,0.01
GS_TV13,float64,90.95,92,-117.458394261894,3.66189209769071,3.535420691244543,1.9035419262861646,0.0,0.03
GS_TV07,float64,90.95,145,-114.48044048905,12.5316505884144,12.482053249731154,1.332960472363825,0.0,0.01
GS_TV02,float64,90.95,53,-118.475392561305,0.561038934793177,0.5083398407328299,1.2478545041260496,0.0,0.01
GS_TV09,float64,90.95,41,-113.687859485221,14.8951377949696,14.84696595134172,1.3480518500026368,0.0,0.01
GS_TV04,float64,90.95,67,-157.910190714238,2.63243022320335,2.1132778654354447,2.3124477184231678,0.0,0.03
GS_TV01,float64,90.95,17,-117.403181338171,3.75628925075718,3.729639265068545,1.2703142768177842,0.0,0.01
GS_TV03,float64,90.95,44,-116.325632559356,7.00497209703166,6.958728840182668,1.292915561441842,0.0,0.01
GS_TV05,float64,90.95,11,-156.551228887456,14.8417063406993,14.797267385137618,2.2573969697810115,0.0,0.03
GS_TV08,float64,90.95,126,-113.664704629862,15.1783295939712,14.958051732231853,1.3498185313495028,0.0,0.01
GS_TV06,float64,90.95,21,-118.614310819792,0.126456382420923,0.09044771551980209,1.2448555637089285,0.0,0.01
GS_TV11,float64,90.95,35,-665.690002408624,1.51000004429266,1.2665288492821605,6.9948099810457665,0.0,0.01
GS_TV12,float64,90.95,15,-158.1666661065,0.288534310131258,0.24616233009610403,2.0869778464718887,0.0,0.03
GS_TV10,float64,90.95,118,-113.762661635297,14.8666413063028,14.665744593481898,1.3472860081727343,0.0,0.01
GS_MDOA,float64,90.94,5,-8088.783727,7.01014,4.972701264130196,114.25503419387071,0.0,0.04
GS_MTOA,float64,90.94,174,-662.219970555556,14.1099994444445,11.58451617366772,7.1470582695404214,0.0,0.01
GS_TDH,float64,90.94,52,-656.200012222223,30.2299994444446,29.671376701060662,7.197223322921672,0.0,0.01
GS_CHKP,float64,90.94,222,-66603.0029299607,200.999998043461,21.138442450174164,701.0045836298902,1.3299999999999998,32.6
GS_MWTI,float64,90.94,6,-8088.616656,11.850475,9.738125888607872,114.3199520890596,0.0,0.04
TTV2,float64,86.88,144,0.679999987306584,3.38000012862624,2.772312353889843,0.7658076540070459,0.0,0.0
GS_TV14,float64,86.88,6,-157.790861682104,3.67792181147689,3.654663420104926,1.732272766741585,0.0,0.01
SPM3,float64,0.0,0,,,,,0.0,0.0
GS_G_NC5,float64,0.0,0,,,,,0.0,0.0
DCAV_DH_ECO_RT,float64,0.0,0,,,,,0.0,0.0
TTONB,float64,0.0,0,,,,,0.0,0.0
RGX,float64,0.0,0,,,,,0.0,0.0
MAG_DEC,float64,0.0,0,,,,,0.0,0.0
GS_G_IC5,float64,0.0,0,,,,,0.0,0.0
GY_RT,float64,0.0,0,,,,,0.0,0.0
SPM1,float64,0.0,0,,,,,0.0,0.0
SGX,float64,0.0,0,,,,,0.0,0.0
AZIM_CONT_RT,float64,0.0,0,,,,,0.0,0.0
TOFB,float64,0.0,0,,,,,0.0,0.0
CUREDT_RT,float64,0.0,0,,,,,0.0,0.0
MSP7,float64,0.0,0,,,,,0.0,0.0
ECD_ECO_RT,float64,0.0,0,,,,,0.0,0.0
B_RETRACT_P,float64,0.0,0,,,,,0.0,0.0
DNI_MP,float64,0.0,0,,,,,0.0,0.0
P28H_COND_UNC_ECO_RT,float64,0.0,0,,,,,0.0,0.0
STAT_ISONIC_RT,float64,0.0,0,,,,,0.0,0.0
HY_RT,float64,0.0,0,,,,,0.0,0.0
A40H_UNC_DH_ECO_RT,float64,0.0,0,,,,,0.0,0.0
SRV_HY,float64,0.0,0,,,,,0.0,0.0
DHAT_DH_ECO_RT,float64,0.0,0,,,,,0.0,0.0
RPM30s,float64,0.0,0,,,,,0.0,0.0
PPG_P,float64,0.0,0,,,,,0.0,0.0
DTPO_RT,float64,0.0,0,,,,,0.0,0.0
SRVAZI,float64,0.0,0,,,,,0.0,0.0
TSTK,float64,0.0,0,,,,,0.0,0.0
PMAX_TM_RT,float64,0.0,0,,,,,0.0,0.0
MSP2,float64,0.0,0,,,,,0.0,0.0
SHKTOT_RT,float64,0.0,0,,,,,0.0,0.0
CRS4,float64,0.0,0,,,,,0.0,0.0
HKLX,float64,0.0,0,,,,,0.0,0.0
SPM2,float64,0.0,0,,,,,0.0,0.0
BVEL,float64,0.0,0,,,,,0.0,0.0
